time,y,y_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,4.983333416633721556e-05,9.950000415832107106e-03
2.000000000000000042e-02,1.986668029312825632e-04,1.980000653462353835e-02
2.999999999999999889e-02,4.455004732896286667e-04,2.955003328960148848e-02
4.000000000000000083e-02,7.893344805006946140e-04,3.920010553371215678e-02
5.000000000000000278e-02,1.229169444736382061e-03,4.875025763276526897e-02
5.999999999999999778e-02,1.764006473837648192e-03,5.820053346276139045e-02
7.000000000000000666e-02,2.392847163314508214e-03,6.755098640989193326e-02
8.000000000000000167e-02,3.114693672747438462e-03,7.680167928228651131e-02
8.999999999999999667e-02,3.928548747770703453e-03,8.595268425403296275e-02
1.000000000000000056e-01,4.833415657361303172e-03,9.500408295895014510e-02
1.100000000000000006e-01,5.828298725211414344e-03,1.039559659269920916e-01
1.199999999999999956e-01,6.912203357978284612e-03,1.128084325532638932e-01
1.300000000000000044e-01,8.084136045284222999e-03,1.215615910980215181e-01
1.400000000000000133e-01,9.343104360244804119e-03,1.302155586860475889e-01
1.499999999999999944e-01,1.068811717386422035e-02,1.387704610388655890e-01
1.600000000000000033e-01,1.211818431578264021e-02,1.472264328422994983e-01
1.700000000000000122e-01,1.363231694073355899e-02,1.555836173620456508e-01
1.799999999999999933e-01,1.522952788762090351e-02,1.638421660323661766e-01
1.900000000000000022e-01,1.690883167951903743e-02,1.720022384560888906e-01
2.000000000000000111e-01,1.866924452367274556e-02,1.800640024046073484e-01
2.099999999999999922e-01,2.050978431149723391e-02,1.880276338178806239e-01
2.200000000000000011e-01,2.242947077297149580e-02,1.958933166004169779e-01
2.300000000000000100e-01,2.442732538982365226e-02,2.036612426760012751e-01
2.399999999999999911e-01,2.650237119880751585e-02,2.113316122783088225e-01
2.500000000000000000e-01,2.865363350723765246e-02,2.189046330766668547e-01
2.600000000000000089e-01,3.088013991720862939e-02,2.263805201455361682e-01
2.700000000000000178e-01,3.318092032559505355e-02,2.337594959645112325e-01
2.800000000000000266e-01,3.555500692405155760e-02,2.410417904183202176e-01
2.899999999999999800e-01,3.800143419901277908e-02,2.482276407968249110e-01
2.999999999999999889e-01,4.051923906873777098e-02,2.553172915974417090e-01
